4 x 24;699,780,452;788m 17s;21.03.2026 20:08
4 x 23;275,654,292;301m 54s;21.03.2026 7:00
4 x 22;108,584,525;96m 13s;21.03.2026 1:58
3 x 32;32,768;39.66s;21.03.2026 0:21
3 x 30;16,384;20.51s;21.03.2026 0:21
4 x 21;42,773,094;39m 44s;16.03.2026 4:19
3 x 28;8,192;6.76s;16.03.2026 3:40
8 x 10;681,728,204;1425m 1s;16.03.2026 3:40
5 x 16;24,980,352;90m 14s;15.03.2026 3:55
4 x 20;16,849,006;13m 21s;15.03.2026 2:24
6 x 13;181,971,848;236m 26s;15.03.2026 2:11
3 x 26;4,096;2.05s;14.03.2026 18:44
4 x 19;6,637,066;4m 41s;14.03.2026 18:44
8 x 9;49,483,138;106m 43s;14.03.2026 18:36
6 x 12;32,463,802;44m 9s;14.03.2026 16:49
4 x 18;2,614,457;1m 48s;14.03.2026 16:05
3 x 24;2,048;0.79s;14.03.2026 16:03
7 x 10;17,066,492;37m 9s;14.03.2026 16:03
5 x 14;2,267,544;6m 15s;14.03.2026 15:26
4 x 17;1,029,864;37.27s;14.03.2026 15:20
6 x 11;5,668,692;5m 59s;14.03.2026 15:19
3 x 22;1,024;0.25s;14.03.2026 15:13
4 x 16;405,688;14.01s;14.03.2026 15:13
5 x 12;205,832;20.15s;14.03.2026 15:13
4 x 15;159,8;5.30s;14.03.2026 15:13
3 x 20;512;0.10s;14.03.2026 15:13
4 x 14;62,953;2.00s;14.03.2026 15:13
3 x 18;256;0.03s;14.03.2026 15:13
4 x 13;24,794;0.72s;14.03.2026 15:13
4 x 12;9,77;0.26s;14.03.2026 15:13
3 x 16;128;0.01s;14.03.2026 15:13
4 x 11;3,846;0.09s;14.03.2026 15:13
3 x 14;64;0.00s;14.03.2026 15:13
3 x 12;32;3.73s;14.03.2026 15:13
8 x 8;4,638,576;5m 56s;14.03.2026 14:52
10 x 6;1,024,028;2m 8s;11.03.2026 1:59
6 x 10;1,024,028;1m 43s;11.03.2026 1:57
8 x 7;301,384;45.58s;11.03.2026 1:55
7 x 8;301,384;45.81s;11.03.2026 1:55
9 x 6;175,294;18.97s;11.03.2026 1:54
6 x 9;175,294;18.44s;11.03.2026 1:54
10 x 5;18,684;2.43s;11.03.2026 1:53
5 x 10;18,684;2.45s;11.03.2026 1:53
8 x 6;32,675;2.51s;11.03.2026 1:53
6 x 8;32,675;2.55s;11.03.2026 1:53
7 x 6;5,32;0.42s;11.03.2026 1:53
6 x 7;5,32;0.44s;11.03.2026 1:53
10 x 4;1,517;0.06s;11.03.2026 1:53
8 x 5;1,696;0.19s;11.03.2026 1:53
5 x 8;1,696;0.16s;11.03.2026 1:53
4 x 10;1,517;0.06s;11.03.2026 1:53
9 x 4;596;0.02s;11.03.2026 1:53
6 x 6;1,072;0.06s;11.03.2026 1:53
4 x 9;596;0.02s;11.03.2026 1:53
8 x 4;236;0.01s;11.03.2026 1:53
4 x 8;236;0.01s;11.03.2026 1:53
10 x 3;16;0.00s;11.03.2026 1:53
6 x 5;154;0.01s;11.03.2026 1:53
5 x 6;154;0.01s;11.03.2026 1:53
3 x 10;16;0.00s;11.03.2026 1:53
7 x 4;92;0.00s;11.03.2026 1:53
4 x 7;92;0.00s;11.03.2026 1:53
8 x 3;8;0.00s;11.03.2026 1:53
6 x 4;37;0.00s;11.03.2026 1:53
4 x 6;37;0.00s;11.03.2026 1:53
3 x 8;8;0.00s;11.03.2026 1:53
5 x 4;14;0.00s;11.03.2026 1:53
4 x 5;14;0.00s;11.03.2026 1:53
6 x 3;4;0.00s;11.03.2026 1:53
3 x 6;4;0.00s;11.03.2026 1:53
4 x 4;6;0.00s;11.03.2026 1:53
4 x 3;2;0.00s;11.03.2026 1:53
3 x 4;2;3.81s;11.03.2026 1:53
